#,Date-Time (CDT),Temperature (°F) ,RH (%) ,Dew Point (°F) 
1,05/02/2024 12:00:00,78.57,34.840,48.54
2,05/02/2024 12:05:00,78.69,34.740,48.58
3,05/02/2024 12:10:00,78.69,34.770,48.60
4,05/02/2024 12:15:00,78.69,34.860,48.67
5,05/02/2024 12:20:00,78.69,35.080,48.84
6,05/02/2024 12:25:00,78.69,35.210,48.93
7,05/02/2024 12:30:00,78.69,35.350,49.04
8,05/02/2024 12:35:00,78.69,35.450,49.12
9,05/02/2024 12:40:00,78.69,35.570,49.21
10,05/02/2024 12:45:00,78.69,35.520,49.17
11,05/02/2024 12:50:00,78.69,35.570,49.21
12,05/02/2024 12:55:00,78.69,35.600,49.23
13,05/02/2024 13:00:00,78.69,35.520,49.17
14,05/02/2024 13:05:00,78.69,35.520,49.17
15,05/02/2024 13:10:00,78.73,35.520,49.20
16,05/02/2024 13:15:00,78.69,35.600,49.23
17,05/02/2024 13:20:00,78.69,35.570,49.21
18,05/02/2024 13:25:00,78.69,35.520,49.17
19,05/02/2024 13:30:00,78.69,35.720,49.32
20,05/02/2024 13:35:00,78.73,36.230,49.73
21,05/02/2024 13:40:00,78.73,37.080,50.36
22,05/02/2024 13:45:00,78.78,37.450,50.67
23,05/02/2024 13:50:00,78.78,37.430,50.66
24,05/02/2024 13:55:00,78.78,37.280,50.55
25,05/02/2024 14:00:00,78.78,37.080,50.41
26,05/02/2024 14:05:00,78.82,36.910,50.32
27,05/02/2024 14:10:00,78.78,37.430,50.66
28,05/02/2024 14:15:00,78.78,40.480,52.78
29,05/02/2024 14:20:00,78.57,41.260,53.11
30,05/02/2024 14:25:00,78.26,39.580,51.70
31,05/02/2024 14:30:00,78.08,38.960,51.12
32,05/02/2024 14:35:00,77.90,38.920,50.93
33,05/02/2024 14:40:00,77.72,38.750,50.65
34,05/02/2024 14:45:00,77.50,38.720,50.44
35,05/02/2024 14:50:00,77.38,38.770,50.36
36,05/02/2024 14:55:00,77.20,38.940,50.32
37,05/02/2024 15:00:00,77.07,39.090,50.31
38,05/02/2024 15:05:00,76.98,39.210,50.31
39,05/02/2024 15:10:00,76.86,39.280,50.25
40,05/02/2024 15:15:00,76.77,39.380,50.23
41,05/02/2024 15:20:00,76.68,39.550,50.27
42,05/02/2024 15:25:00,76.59,39.770,50.34
43,05/02/2024 15:30:00,76.55,40.010,50.47
44,05/02/2024 15:35:00,76.51,40.280,50.62
45,05/02/2024 15:40:00,76.42,40.430,50.64
46,05/02/2024 15:45:00,76.37,40.530,50.65
47,05/02/2024 15:50:00,76.33,40.650,50.70
48,05/02/2024 15:55:00,76.28,40.720,50.70
49,05/02/2024 16:00:00,76.24,40.820,50.74
50,05/02/2024 16:05:00,76.21,41.020,50.83
51,05/02/2024 16:10:00,76.15,41.110,50.85
52,05/02/2024 16:15:00,76.12,41.330,50.96
53,05/02/2024 16:20:00,76.12,41.500,51.07
54,05/02/2024 16:25:00,76.06,41.670,51.13
55,05/02/2024 16:30:00,76.06,41.890,51.28
56,05/02/2024 16:35:00,76.03,42.020,51.32
57,05/02/2024 16:40:00,75.99,42.140,51.37
58,05/02/2024 16:45:00,75.99,42.290,51.46
59,05/02/2024 16:50:00,75.94,42.460,51.52
60,05/02/2024 16:55:00,75.94,42.530,51.57
61,05/02/2024 17:00:00,75.94,42.650,51.65
62,05/02/2024 17:05:00,75.90,42.800,51.71
63,05/02/2024 17:10:00,75.85,42.940,51.75
64,05/02/2024 17:15:00,75.85,43.210,51.92
65,05/02/2024 17:20:00,75.85,43.310,51.98
